序号,标题,链接,BV号,时长,播放量,评论数,发布时间,subtitle_status,subtitle_error
1,生育问题,https://www.bilibili.com/video/BV1CaFDzYE9n,BV1CaFDzYE9n,03:06,40365,354,2026-02-10 21:31:14,success,
2,D7 效率与公平-7天读懂宏观经济,https://www.bilibili.com/video/BV17B6wBiEDH,BV17B6wBiEDH,07:49,716248,2833,2026-01-29 19:19:14,success,
3,人口问题,https://www.bilibili.com/video/BV12CrCBTEUA,BV12CrCBTEUA,02:35,317343,1537,2026-01-16 22:04:29,success,
4,D4汇率-7天读懂宏观经济（流畅版）,https://www.bilibili.com/video/BV1mWieBhEtL,BV1mWieBhEtL,10:25,88374,111,2026-01-03 11:04:08,success,
5,2026财经展望【B站首发】,https://www.bilibili.com/video/BV1xUicBKEi7,BV1xUicBKEi7,04:26,45161,277,2026-01-02 23:57:31,success,
6,D6美联储与美元-7天读懂宏观经济,https://www.bilibili.com/video/BV1oHigByEDJ,BV1oHigByEDJ,10:59,60951,132,2025-12-31 20:57:58,success,
7,A股慢牛？,https://www.bilibili.com/video/BV1XEqgB6EUY,BV1XEqgB6EUY,02:23,19487,122,2025-12-17 13:16:35,success,
8,D5国际收支平衡表-7天读懂宏观经济,https://www.bilibili.com/video/BV14KmzBBEqN,BV14KmzBBEqN,14:21,17704,69,2025-12-15 00:02:23,success,
9,卧龙凤雏前传,https://www.bilibili.com/video/BV1wk2sB9EGt,BV1wk2sB9EGt,02:28,50393,101,2025-12-03 21:14:10,success,
10,D4-汇率 | RPG《日银风云》-7天读懂宏观经济,https://www.bilibili.com/video/BV18wUVBuEEG,BV18wUVBuEEG,11:11,12553,106,2025-11-24 13:01:25,success,
