序号,BV号,标题,UP主,UP主_UID,UP主主页,视频链接,字幕状态,刷新批次,刷新时间,是否关注
1,BV1p3igBpE5k,谷歌再次伟大了吗？,林亦LYi,4401694,https://space.bilibili.com/4401694,https://www.bilibili.com/video/BV1p3igBpE5k,已提取,1,2026-02-23 20:30:44,否
2,BV13Df7BEE2P,我去打卡了全美国最贵超市，价格看傻了！,迈克尔在洛杉矶,400334277,https://space.bilibili.com/400334277,https://www.bilibili.com/video/BV13Df7BEE2P,已提取,1,2026-02-23 20:30:44,否
3,BV1iU6bBCE5h,尝试一个视频得罪所有大厂,大条帮,297810036,https://space.bilibili.com/297810036,https://www.bilibili.com/video/BV1iU6bBCE5h,已提取,1,2026-02-23 20:30:44,否
4,BV12Q6TBwE2J,一匹马身价上百万，赛马究竟在看什么？,影视飓风,946974,https://space.bilibili.com/946974,https://www.bilibili.com/video/BV12Q6TBwE2J,已提取,1,2026-02-23 20:30:44,是
5,BV1G3FNznEiS,手把手彻底学会 Agent Skills！【小白教程】,秋芝2046,385670211,https://space.bilibili.com/385670211,https://www.bilibili.com/video/BV1G3FNznEiS,已提取,1,2026-02-23 20:30:44,是
6,BV1p6FrzTEHH,夯爆or拉完？一期看完互联网大厂2025全年“战绩”,饭统戴老板,253553776,https://space.bilibili.com/253553776,https://www.bilibili.com/video/BV1p6FrzTEHH,无字幕,1,2026-02-23 20:30:44,否
7,BV1m6Z2B9Ets,为什么越通透的人，越会在酒桌上聊废话？,-观心者-,3691001325553852,https://space.bilibili.com/3691001325553852,https://www.bilibili.com/video/BV1m6Z2B9Ets,无字幕,1,2026-02-23 20:30:44,否
8,BV1v2zXBuEHP,在杭州看见了一些反直觉的风景,K教授,1552147,https://space.bilibili.com/1552147,https://www.bilibili.com/video/BV1v2zXBuEHP,已提取,1,2026-02-23 20:30:44,否
9,BV16ifJBiEav,高中时的你，就该渐渐对研究生博士生学历祛魅,梦言人生,139877596,https://space.bilibili.com/139877596,https://www.bilibili.com/video/BV16ifJBiEav,已提取,2,2026-02-23 20:31:01,是
10,BV1tgctzVEUg,工作日下午在健身房的人是干嘛的？,好叫好伐,473532576,https://space.bilibili.com/473532576,https://www.bilibili.com/video/BV1tgctzVEUg,已提取,2,2026-02-23 20:31:01,否
