序号,标题,链接,时长
1,"GALAXEA Founder Gao Jiyang: Catfish Effect, Zeng Guofan, Waymo vs. Momenta, and Why Xu Huazhe Left",https://www.youtube.com/watch?v=c-ZVu-Cr1FQ,11054秒
2,132. 对星海图创始人高继扬的3小时访谈：鲶鱼、曾国藩、Waymo与Momenta的两面、一只狼与许华哲的离开,https://www.youtube.com/watch?v=n4_c_HsodPg,11092秒
3,"Yin Qi: On Chairing StepFun, the Seduction of Intelligence, and a Brutal Long-Horizon Game",https://www.youtube.com/watch?v=gWmyu3x5rXY,7204秒
4,131. 印奇出任阶跃星辰董事长的访谈：聪明人的诱惑、取舍、超长链路残酷淘汰赛、阶跃函数和超多元方程,https://www.youtube.com/watch?v=dm0Zsm9BiD8,7094秒
5,130. 张月光创业两年首次访谈：妙鸭不是AI Native产品、流程到上下文设计、One Way Door和乙女游戏,https://www.youtube.com/watch?v=ruVJ_5dObxs,11655秒
6,Zhipu CEO Zhang Peng: Inside the IPO of China’s First Publicly Listed LLM Company,https://www.youtube.com/watch?v=toy8RLeFZ08,8675秒
7,129. 全球大模型第一股的上市访谈，和智谱CEO张鹏聊：敢问路在何方？,https://www.youtube.com/watch?v=9zSMTUUEfmU,8800秒
8,"Manus' Final Interview Before the Acquisition: Oh, the Surreal Odyssey of 2025…",https://www.youtube.com/watch?v=UqMtkgQe-kI,12660秒
9,128. Manus决定出售前最后的访谈：啊，这奇幻的2025年漂流啊…,https://www.youtube.com/watch?v=MW-ezf2RhVg,12677秒
10,127. 大模型季报跨年对谈：和广密预言一场AI War、两大联盟和第三个范式Online Learning,https://www.youtube.com/watch?v=SG90aehV3vU,4683秒
11,126. 和红杉郑庆生聊：经济史的流量革命、人类行为模式的不可预期，与创始人性格,https://www.youtube.com/watch?v=uOOB1azmbXk,6187秒
12,125. 与Altimeter合伙人Freda聊：下注OpenAI、Robinhood往事，美国资本坏小孩、算盘与泡沫,https://www.youtube.com/watch?v=k82iFzvKFCQ,5066秒
13,124. 年终对话【站在2025年之外】和戴雨森聊2026年预期、The Year of R、回调、我们如何下注,https://www.youtube.com/watch?v=EosO2Qd35Cw,12184秒
14,123. 对ONE2X创始人王冠3小时访谈：生成系统、没有中间商赚差价、内容平台的权力分配,https://www.youtube.com/watch?v=qZbzFZ2R_Nw,13374秒
15,"Xiaohu Zhu: Realism, the AI Feast and Its Bubbles, and a Fifteen-Degree Shift from Consensus",https://www.youtube.com/watch?v=-sowOoOeQz4,2786秒
16,122. 朱啸虎现实主义故事的第三次连载：人工智能的盛筵与泡泡,https://www.youtube.com/watch?v=wK0-m3rKgZ0,2880秒
17,121. 对DeepMind谭捷的访谈：机器人、跨本体、世界模型、Gemini Robotics 1.5和Google,https://www.youtube.com/watch?v=2o281Zy5aZE,7576秒
18,120. 小鹏新上任的刘先明首次访谈：Language是毒药、拆掉L、简单即美、换帅、小鹏的AI转型,https://www.youtube.com/watch?v=40qPt8R2uys,6526秒
19,119. Kimi Linear、Minimax M2？和杨松琳考古算法变种史，并预演未来架构改进方案,https://www.youtube.com/watch?v=858HR43pegk,6206秒
20,"Li Auto Founder Li Xiang: MoE, Liang Wenfeng, VLA, Energy, Memory, Intimacy & Human Intelligence",https://www.youtube.com/watch?v=HvMANU1yc0U,9832秒
21,118. 对李想的第二次3小时访谈：CEO大模型、MoE、梁文锋、VLA、能量、记忆、对抗人性、亲密关系、人类的智慧,https://www.youtube.com/watch?v=RxXVq7-sJzM,9982秒
22,Let’s Dive into Papers Together | 干货！开源一段论文探索之旅,https://www.youtube.com/watch?v=RUfeYhsundg,15758秒
23,117. 开源一段论文探索之旅：模型范式、Infra和数据、语言、多模态的完整变迁史,https://www.youtube.com/watch?v=zrvnoYYPaWQ,15757秒
24,116. 吴明辉口述19年史：漫长的沉浮、痛苦急转、企业级Agentic Model、现实世界的数值游戏、IPO,https://www.youtube.com/watch?v=khrOsS7YQn4,13665秒
25,115. 对OpenAI姚顺雨3小时访谈：6年Agent研究、人与系统、吞噬的边界、既单极又多元的世界,https://www.youtube.com/watch?v=gQgKkUsx5q0,9092秒
26,114. 与殷一、欧迪聊聊萨洛蒙：中国意外的增长阀门、小众越野跑与少女故事,https://www.youtube.com/watch?v=wCdVD6ByUqQ,4708秒
27,"Kimi Founder Yang Zhilin: K2, Agentic LLMs, Brains in Vats, and the Beginning of Infinity",https://www.youtube.com/watch?v=91fmhAnECVc,5979秒
28,113. 和杨植麟时隔1年的对话：K2、Agentic LLM、缸中之脑和“站在无限的开端”,https://www.youtube.com/watch?v=ouG6jrkECrc,6074秒
29,112. 和广密聊大模型季报：分化与收敛、全家桶与垂直整合、L4体验与挖矿窗口,https://www.youtube.com/watch?v=6yExfoTuSWw,4151秒
