序号,标题,链接,类型,点赞数,评论数,发布时间,subtitle_status,subtitle_error
1,我觉得是常识 但一般人可能不知道的,https://www.xiaohongshu.com/explore/68e94c1e000000000700cd65?xsec_token=AB7QbgEcU7E6nk8rmzpQyoYob0y_Ga_GLOSB16B83E7BM=&xsec_source=pc_search,video,10万+,1万,2025-10-11 02:10:38,fail,"ProxyError: HTTPSConnectionPool(host='api.bibigpt.co', port=443): Max retries exceeded with url: /api/v1/getSubtitle?url=https%3A%2F%2Fwww.xiaohongshu.com%2Fexplore%2F68e94c1e000000000700cd65%3Fxsec_t"
2,一个博士生的七年迁徙,https://www.xiaohongshu.com/explore/694f9e53000000001e013674?xsec_token=ABfMkcAIkV9-rbrkI5aiDXVATctyLFW-NefMgCDYCUcYg=&xsec_source=pc_search,video,4.3万,2912,2025-12-27 16:52:35,fail,"ProxyError: HTTPSConnectionPool(host='api.bibigpt.co', port=443): Max retries exceeded with url: /api/v1/getSubtitle?url=https%3A%2F%2Fwww.xiaohongshu.com%2Fexplore%2F694f9e53000000001e013674%3Fxsec_t"
3,尊重前额叶🧠手把手教学,https://www.xiaohongshu.com/explore/698da913000000000b00a3f1?xsec_token=ABtk__zniCl2zWeX1W4x5VmDA27nw_1JQxPZG1RS6ApJU=&xsec_source=pc_search,video,9901,179,2026-02-12 18:51:04,success,
4,一天上两次热搜🤡,https://www.xiaohongshu.com/explore/698d8b4c000000000c0360e2?xsec_token=ABtk__zniCl2zWeX1W4x5VmMA-vaNQexHZrgI9TwgtHWs=&xsec_source=pc_search,normal,4475,501,2026-02-12 16:11:56,fail,"SSLError: HTTPSConnectionPool(host='api.bibigpt.co', port=443): Max retries exceeded with url: /api/v1/getSubtitle?url=https%3A%2F%2Fwww.xiaohongshu.com%2Fexplore%2F698d8b4c000000000c0360e2%3Fxsec_tok"
5,孩子春节就失控？脑科学视角看身体底层原因,https://www.xiaohongshu.com/explore/698bd35d000000000a0301c9?xsec_token=ABLDxHGum9g-k36zT_tYrP7f8ve0F3UH30A8J8Oc3FzIA=&xsec_source=pc_search,video,2012,255,2026-02-11 11:22:34,fail,"SSLError: HTTPSConnectionPool(host='api.bibigpt.co', port=443): Max retries exceeded with url: /api/v1/getSubtitle?url=https%3A%2F%2Fwww.xiaohongshu.com%2Fexplore%2F698bd35d000000000a0301c9%3Fxsec_tok"
6,如何收获强壮前额叶 尽享自在人生,https://www.xiaohongshu.com/explore/698b0600000000000c03661b?xsec_token=ABLDxHGum9g-k36zT_tYrP7YduQP4DRxLC9BLcLtGJlnM=&xsec_source=pc_search,video,2.6万,894,2026-02-10 18:18:40,fail,"SSLError: HTTPSConnectionPool(host='api.bibigpt.co', port=443): Max retries exceeded with url: /api/v1/getSubtitle?url=https%3A%2F%2Fwww.xiaohongshu.com%2Fexplore%2F698b0600000000000c03661b%3Fxsec_tok"
7,嘘🤫前额叶在烧烤,https://www.xiaohongshu.com/explore/698a238c000000000a0299c4?xsec_token=ABZ6KG8l-4tZKbvek3cL0FMsefS9jX4uf1ZRZG67z9jJU=&xsec_source=pc_search,video,3905,270,2026-02-10 02:12:28,success,
8,有效科普,https://www.xiaohongshu.com/explore/6989d4c5000000000a028ddd?xsec_token=AByzJJoqpWrzlfEp7TihjS5-7nTpGkXYHYkqgwBUzaoIc=&xsec_source=pc_search,normal,1.4万,709,2026-02-09 20:36:21,fail,HTTPError: 500 Server Error: Internal Server Error for url: https://api.bibigpt.co/api/v1/getSubtitle?url=https%3A%2F%2Fwww.xiaohongshu.com%2Fexplore%2F6989d4c5000000000a028ddd%3Fxsec_token%3DAByzJJoq
9,出现这个现象的时候就歇歇吧😣,https://www.xiaohongshu.com/explore/6988ddbd000000000a032502?xsec_token=ABbg67N_znyCDU_NgOjLbRIXv1TiQU9dmSrBqnth-geiw=&xsec_source=pc_search,video,2.1万,1132,2026-02-09 03:02:21,fail,"ReadTimeout: HTTPSConnectionPool(host='api.bibigpt.co', port=443): Read timed out. (read timeout=120)"
10,细数一下有小孩前后人要同时操心多少东西,https://www.xiaohongshu.com/explore/69878b30000000000a02820b?xsec_token=AB9o1Ym14aQtZ9wl3nKf2cKDgOCRT0zKU0WMmltdK9M34=&xsec_source=pc_search,video,4.7万,2820,2026-02-08 02:57:52,fail,no subtitlesArray in response
